,a_95,date,date_error,dec,dec_tc,dip,dip_direction,inc,inc_tc,k,n,pole_lat,pole_long,sites_used,site_lat,site_long
Kgale_Peak_Sill,6.3,1108.0,0.9,189.728558523,189.9,6.0,224.6,5.32921970669,0.4,48.8,12.0,-63.7,228.7,PW1_ALL and PW2_AF,-24.68781,25.86215
Rasemong_Sill,8.1,,,14.4,14.4,0.0,0.0,-18.6,-18.6,48.0,8.0,69.6,70.4,PW5_ALL,-24.72715,25.7759
Metsemotlhaba_River_Sill,14.4,,,180.6,180.6,0.0,0.0,-2.7,-2.7,18.5,7.0,-64.1,207.2,PW6_ALL,-24.54694,25.80892
Mabogoapitse_Hill_Sill,9.1,,,184.6,184.6,0.0,0.0,5.1,5.1,33.2,9.0,-67.6,217.8,PW7_ALL and PW8_AF,-24.47402,25.59705
Semarule_Hill_Sill,9.1,,,186.8,186.8,0.0,0.0,3.8,3.8,72.2,5.0,-66.5,222.8,PW9_ALL,-24.45268,25.57415
Rapitsane_Sill,8.5,,,197.931463565,197.7,7.0,330.0,-4.90384157649,-0.2,43.3,8.0,-60.1,243.1,PW10_ALL,-24.41968,25.58463
Suping_Sill,8.4,,,188.871011471,187.2,10.0,281.2,-9.75348782109,-9.2,20.2,16.0,-60.2,220.1,PW11_ALL and JP15,-24.32765,25.53224
Mogatelwane 2 Sill,14.7,,,193.629005807,193.5,4.0,260.3,-1.21955156966,-2.8,21.6,6.0,-61.3,234.7,PW15_ALL,-24.18042,25.69191
Mosolotsane_1_Sill,4.6,1109.3,0.6,186.853869186,186.1,10.0,262.9,-3.24679446506,-5.6,36.9,27.0,-63.6,220.2,"PW21_AF, PW22_ALL, and JP(22,23,24)",-22.90699,26.38929
Mosolotsane_5_Sill,14.2,,,189.598219854,188.5,10.0,262.9,-5.11195951596,-7.9,19.1,7.0,-61.9,224.6,PW23_ALL,-22.9033,26.37027
Mosolotsane_4_Sill,7.9,,,185.443022277,185.2,10.0,262.9,-0.343752732625,-2.5,50.3,8.0,-65.3,218.9,PW24_AF,-22.89467,26.3741
Mosolotsane_6_Sill,9.0,,,188.939128702,191.2,10.0,262.9,14.7594400976,11.8,72.7,5.0,-69.9,240.6,PW25_AF,-22.8955,26.36726
Mosolotsane_3_Sill,16.7,,,189.707386748,189.8,10.0,262.9,2.00604805707,-0.9,31.3,4.0,-64.8,229.9,PW26_AF,-22.89259,26.38113
Mosolotsane_2_Sill,5.6,,,187.048910777,187.6,10.0,262.9,4.49700916444,2.0,97.5,8.0,-66.9,226.1,PW27_AF,-22.89228,26.38196
Shoshong_Sill,3.1,1109.3,0.4,191.5,191.5,0.0,0.0,-5.4,-5.4,65.2,33.0,-61.9,231.5,"PW28_AF and JP(26,31,33,34)",-23.00519,26.48383
Phage_Sill,7.8,,,193.930453677,194.0,10.0,270.0,1.61911564123,-0.8,50.9,8.0,-63.1,238.7,PW29_AF,-22.77939,26.39372
Moijabana_Sill,17.9,,,189.4,189.4,0.0,0.0,-10.0,-10.0,19.2,5.0,-60.8,225.9,PW30_AF,-22.64213,26.4426
Mokgware_Sill,6.5,1112.0,0.5,199.208119877,199.0,4.0,90.1,2.49698411016,3.8,42.2,13.0,-62.2,250.8,PW31_ALL and JP30,-22.70685,26.61142
Sepatamorire_Sill,8.3,,,194.1,194.1,0.0,0.0,1.5,1.5,45.6,8.0,-64.4,241.2,PW32_ALL,-22.33543,26.82285
Palapye_dike,11.4,,,172.504630524,173.6,9.0,312.1,7.09638571202,13.9,29.0,7.0,-73.3,184.6,PW33_AF,-22.57771,27.28736
Masama_1_Sill,8.8,,,169.629936908,170.5,8.0,10.4,-21.1030995725,-13.6,40.3,8.0,-57.9,188.8,PW34_ALL,-23.81626,26.73769
Masama_3_Sill,4.8,,,188.478041931,188.5,8.0,10.4,-8.69556533205,-0.7,75.4,13.0,-64.5,226.8,PW35_AF and PW37_ALL,-23.81403,26.73541
Masama_2_Sill,7.7,,,183.19178272,183.2,8.0,10.4,-4.4370483025,3.5,53.1,8.0,-67.7,215.2,PW36_ALL,-23.81453,26.73503
Dibete_Kop_Sill,9.4,,,194.4,194.4,0.0,0.0,0.8,0.8,42.4,7.0,-62.8,239.5,PW38_ALL,-23.78171,26.56308
W01_W02,6.2,,,,175.6,,,,-18.4,22.6,25.0,-54.8,201.9,W01_W02,-25.48,29.45
W04,4.9,,,,171.5,,,,-22.3,80.8,12.0,-51.8,195.9,W04,-25.75,29.45
W05,7.5,,,,176.4,,,,-7.8,38.0,11.0,-60.1,202.3,W05,-25.76,29.48
W08_W09,1.9,,,,192.8,,,,15.9,297.2,20.0,-68.7,246.2,W08_W09,-25.62,29.1
VF1_VF2,3.1,1108.6,1.2,,7.2,,,,-6.8,103.2,21.0,66.6,45.8,VF1_VF2,-25.8,27.5
TG-S-series,5.7,1111.5,0.4,,186.3,,,,2.9,7.2,120.0,-66.4,227.3,TG-S-series,-24.2,31.4
TG-N-series,6.5,,,,182.8,,,,-14.7,41.9,13.0,-59.2,216.6,TG-N-series,-23.2,31.2
JP19,14.9,,,,188.2,,,,-15.4,27.2,5.0,-56.9,220.6,JP19,-24.23,25.64
J_M7,5.2,,,,193.5,,,,-5.5,165.0,6,-59.9,234.2,J_M7,-24.33,26.13
J_M8,17.0,,,,191.0,,,,-33.0,13.2,7,-46.5,221.3,J_M8,-24.23,25.87
J_M3,2.0,,,,190.5,,,,4.0,796.0,8,-66.6,233.7,J_M3,-23.0,26.41
J_M10,9.5,,,,194.0,,,,24.0,66.5,5,-73.1,264.2,J_M10,-22.92,29.93
J_M12,3.9,1108.5,0.8,,16.0,,,,-14.5,292.0,6,65.3,69.3,J_M12,-26.9,28.53
J_M13,5.7,,,,183.0,,,,-3.0,73.5,10,-62.7,214.6,J_M13,-25.7,28.53
M_O_B,4.5,,,,171.5,,,,-10.0,267.0,5,-65.5,192.0,M_O_B,-18.1,32.9
M_O_D,14.0,,,,168.0,,,,-5.5,12.6,10,-66.0,201.0,M_O_D,-18.45,32.76
M_O_E,5.0,,,,185.0,,,,-3.5,92.0,10,-68.0,226.0,M_O_E,-19.53,32.63
M_O_F,4.0,,,,179.5,,,,-13.0,206.0,8,-64.0,211.5,M_O_F,-19.6,32.8
M_O_H,10.5,,,,185.0,,,,-2.5,21.0,10,-68.5,226.5,M_O_H,-19.85,32.95
M_O_J,16.5,,,,180.5,,,,-10.0,14.0,7,-64.5,214.0,M_O_J,-20.53,32.66
WD1,13.4,,,,184.0,,,,-8.5,15.7,9,-61.7,217.3,WD1,-23.81,28.74
WD8,9.6,,,,171.4,,,,-26.3,21.5,12,-50.9,195.4,WD8,-24.28,28.71
WD17,9.5,,,,189.5,,,,-18.8,26.8,10,-55.9,225.6,WD17,-23.15,28.75
WD19,12.9,,,,190.5,,,,-43.5,15.1,10,-40.4,221.2,WD19,-23.16,26.68
WD25,22.4,,,,205.6,,,,11.9,7.1,8,-59.9,267.4,WD25,-23.42,28.65
WD26,9.0,,,,171.7,,,,10.6,22.1,13,-69.8,184.0,WD26,-23.95,28.39
WD32,18.1,,,,181.4,,,,3.7,14.6,6,-67.7,211.2,WD32,-24.14,27.41
WD33,14.9,,,,206.9,,,,-36.2,11.5,10,-38.7,240.3,WD33,-24.05,27.32
WD34,16.9,,,,158.6,,,,-27.2,13.6,7,-46.3,175.9,WD34,-23.84,26.93
WRD4,8.2,,,,178.1,,,,11.1,,5,-69.9,203.7,WRD4,-25.66,29.16
WRD5,15.3,,,,173.9,,,,15.2,,5,-70.9,190.2,WRD5,-25.88,29.03
WRD6,33.6,,,,201.7,,,,1.1,,8,-57.2,252.0,WRD6,-25.82,28.95
WRD7,22.7,,,,185.1,,,,21.7,,8,-74.8,228.1,WRD7,-25.71,28.71
Wil_1,7.9,,,,181.4,,,,-15.4,,5,-64.2,214.7,Wil_1,-17.9,31.5
Wil_2,11.6,,,,10.6,,,,9.3,,7,65.6,56.4,Wil_2,-17.4,30.1
